Date,Open,High,Low,Close,Volume,Market Cap
Dec-06-2019,7388.417904,7532.610987,7328.711289,7532.610987,18201556007,1.33823E+11
Dec-07-2019,7529.891568,7571.745152,7488.402965,7496.125958,17516422533,1.36067E+11
Dec-08-2019,7495.49807,7544.0786,7395.935569,7516.676668,14839255940,1.35363E+11
Dec-09-2019,7511.276363,7580.073106,7315.434945,7350.418118,15758507373,1.34907E+11
Dec-10-2019,7348.373908,7388.386963,7191.154971,7233.814525,18266169084,1.3212E+11
Dec-11-2019,7227.631557,7265.968523,7161.674785,7199.716155,16414726727,1.30504E+11
Dec-12-2019,7204.510776,7251.319703,7122.427523,7202.460793,16462585928,1.29835E+11
Dec-13-2019,7197.053043,7289.915898,7195.239547,7255.126877,14598717509,1.30834E+11
Dec-14-2019,7257.669869,7268.67904,7035.598502,7078.955219,14111391072,1.29696E+11
Dec-15-2019,7072.383785,7155.337433,7026.946126,7120.922418,14644394191,1.28335E+11
Dec-16-2019,7118.479133,7138.605286,6859.198078,6902.888388,14930223069,1.27437E+11
Dec-17-2019,6898.577591,6925.012567,6589.119305,6624.129258,17871010704,1.23006E+11
Dec-18-2019,6621.87189,7310.394958,6455.524826,7275.754884,23544326242,1.22466E+11
Dec-19-2019,7270.845254,7335.823832,7059.44913,7150.376098,27989461215,1.2929E+11
Dec-20-2019,7149.884817,7210.140664,7098.240014,7185.155244,19090224845,1.29413E+11
Dec-21-2019,7189.186326,7189.186326,7130.787126,7138.888884,17216556748,1.29336E+11
Dec-22-2019,7140.320262,7482.961456,7130.735076,7482.961456,15859553797,1.30626E+11
Dec-23-2019,7492.450298,7664.109375,7292.652163,7329.609334,23553693248,1.35673E+11
Dec-24-2019,7327.790252,7408.11847,7180.371933,7240.620333,21901304372,1.32101E+11
Dec-25-2019,7259.115864,7263.235588,7146.059773,7205.380688,18541417894,1.30607E+11
Dec-26-2019,7206.513103,7407.990908,7170.482251,7211.341194,17261944405,1.30803E+11
Dec-27-2019,7209.301104,7260.341054,7111.398497,7246.422425,20987495731,1.30392E+11
Dec-28-2019,7248.512129,7347.520016,7242.85338,7312.04457,19186434309,1.32122E+11
Dec-29-2019,7312.006786,7487.899094,7257.396558,7386.37606,18316582002,1.32889E+11
Dec-30-2019,7388.393119,7397.633413,7234.181931,7245.988923,20205730609,1.32319E+11
Dec-31-2019,7245.200685,7300.392728,7155.958221,7202.624251,19231685731,1.30636E+11
Jan-01-2020,7196.614648,7252.034228,7182.140636,7213.918462,17174701193,1.30563E+11
Jan-02-2020,7214.705283,7222.856261,6953.660848,6968.274896,16978615552,1.28457E+11
Jan-03-2020,6967.511073,7384.887333,6891.532175,7317.184074,23323885156,1.30663E+11
Jan-04-2020,7324.098145,7373.794397,7290.638622,7358.491964,22091911757,1.32599E+11
Jan-05-2020,7356.75913,7475.155226,7341.456686,7352.362745,18782091517,1.34419E+11
Jan-06-2020,7361.7126,7764.21795,7357.585483,7764.21795,20385990288,1.36279E+11
Jan-07-2020,7751.389284,8173.268895,7751.389284,8155.216395,26898528961,1.43244E+11
Jan-08-2020,8152.750894,8431.806289,7889.175446,8055.759827,32572235031,1.48885E+11
Jan-09-2020,8047.810852,8047.810852,7781.210634,7829.06324,27423415908,1.42893E+11
Jan-10-2020,7821.63355,8160.413567,7699.7602,8160.413567,25445878088,1.42683E+11
Jan-11-2020,8173.01379,8249.130107,8024.156862,8024.791559,29273068672,1.46762E+11
Jan-12-2020,8031.849295,8168.956023,7979.109216,8164.590608,23264705658,1.46766E+11
Jan-13-2020,8174.754398,8176.991753,8065.08032,8116.96951,20209676488,1.46623E+11
Jan-14-2020,8106.52195,8844.280645,8106.52195,8838.564862,30880804632,1.54878E+11
